Teff	logg	M/Mo	Mbol	BC	U	B	V	R	I	J	H	K	u	g	r	i	z	y	b-y	u-b	v-y	V-I	G-R	U-V	U-G	B-V	Age
35000	9.5	1.461	9.166	-3.356	11.017	12.285	12.522	12.67	12.84	13.243	13.351	13.455	11.86	12.272	12.756	13.118	13.473	12.526	-0.109	-0.295	-0.093	-0.774	-0.721	-0.609	-0.382	-0.336	5.50E+08
40000	9.5	1.461	8.586	-3.765	10.798	12.088	12.351	12.501	12.678	13.086	13.199	13.303	11.642	12.083	12.585	12.954	13.312	12.356	-0.118	-0.336	-0.131	-0.781	-0.735	-0.657	-0.42	-0.365	6.41E+08
45000	9.5	1.46	8.075	-4.151	10.643	11.946	12.226	12.377	12.558	12.97	13.086	13.19	11.487	11.947	12.459	12.834	13.193	12.232	-0.124	-0.362	-0.155	-0.786	-0.744	-0.687	-0.444	-0.384	5.45E+08
50000	9.5	1.46	7.617	-4.508	10.521	11.833	12.125	12.278	12.462	12.877	12.994	13.098	11.365	11.838	12.359	12.737	13.097	12.133	-0.128	-0.381	-0.172	-0.79	-0.751	-0.709	-0.461	-0.397	3.18E+08
55000	9.5	1.461	7.203	-4.836	10.418	11.737	12.039	12.193	12.379	12.796	12.915	13.019	11.263	11.746	12.273	12.654	13.015	12.047	-0.132	-0.395	-0.185	-0.792	-0.757	-0.726	-0.474	-0.408	1.17E+08
60000	9.5	1.461	6.825	-5.139	10.33	11.654	11.964	12.118	12.307	12.726	12.846	12.95	11.174	11.665	12.198	12.581	12.944	11.972	-0.135	-0.406	-0.196	-0.795	-0.761	-0.739	-0.485	-0.416	2.44E+07
65000	9.5	1.463	6.475	-5.419	10.249	11.579	11.895	12.05	12.241	12.661	12.782	12.887	11.094	11.592	12.129	12.514	12.877	11.904	-0.137	-0.416	-0.204	-0.797	-0.765	-0.751	-0.493	-0.424	4.00E+06
70000	9.5	1.463	6.153	-5.68	10.178	11.512	11.833	11.989	12.181	12.603	12.726	12.83	11.023	11.527	12.068	12.455	12.819	11.843	-0.139	-0.424	-0.212	-0.799	-0.768	-0.76	-0.501	-0.43	1.57E+06
75000	9.5	1.462	5.855	-5.923	10.114	11.452	11.778	11.934	12.128	12.551	12.674	12.778	10.959	11.468	12.013	12.401	12.765	11.788	-0.141	-0.431	-0.218	-0.801	-0.772	-0.768	-0.507	-0.435	9.88E+05
80000	9.5	1.462	5.575	-6.151	10.054	11.395	11.725	11.882	12.077	12.501	12.625	12.73	10.9	11.412	11.96	12.35	12.715	11.735	-0.143	-0.437	-0.224	-0.802	-0.774	-0.776	-0.513	-0.44	7.48E+05
85000	9.5	1.461	5.312	-6.364	9.999	11.343	11.676	11.833	12.03	12.455	12.579	12.684	10.844	11.361	11.911	12.302	12.668	11.686	-0.144	-0.443	-0.229	-0.804	-0.777	-0.782	-0.518	-0.444	5.77E+05
90000	9.5	1.459	5.065	-6.566	9.948	11.294	11.631	11.789	11.986	12.412	12.538	12.642	10.794	11.314	11.867	12.259	12.625	11.642	-0.145	-0.447	-0.233	-0.805	-0.779	-0.788	-0.522	-0.448	3.71E+05
100000	9.5	1.445	4.619	-6.937	9.863	11.213	11.556	11.714	11.913	12.341	12.467	12.572	10.708	11.234	11.792	12.186	12.552	11.567	-0.148	-0.456	-0.241	-0.807	-0.783	-0.798	-0.53	-0.454	3.71E+04
110000	9.5	1.41	4.231	-7.273	9.802	11.156	11.504	11.663	11.864	12.293	12.42	12.525	10.648	11.179	11.74	12.136	12.503	11.515	-0.15	-0.463	-0.247	-0.81	-0.786	-0.806	-0.536	-0.46	1.43E+02
120000	9.5	1.353	3.898	-7.578	9.767	11.125	11.476	11.636	11.838	12.269	12.397	12.502	10.613	11.149	11.713	12.11	12.478	11.488	-0.151	-0.469	-0.252	-0.812	-0.789	-0.813	-0.541	-0.464	1.31E-02
