arcsec, 5sigHcontr
0.9375, 2.5075e-6
0.9386, 2.5075e-6
0.9397, 2.5075e-6
0.9407, 2.4907e-6
0.942, 2.4908e-6
0.9431, 2.4741e-6
0.9442, 2.4741e-6
0.9453, 2.4576e-6
0.9464, 2.4576e-6
0.9475, 2.4412e-6
0.9487, 2.4412e-6
0.9498, 2.4249e-6
0.9508, 2.4249e-6
0.952, 2.4087e-6
0.9531, 2.4087e-6
0.9542, 2.4087e-6
0.9554, 2.3926e-6
0.9565, 2.3927e-6
0.9576, 2.3927e-6
0.9586, 2.3767e-6
0.9598, 2.3767e-6
0.9609, 2.3767e-6
0.9621, 2.3608e-6
0.9632, 2.3609e-6
0.9643, 2.3609e-6
0.9654, 2.3451e-6
0.9665, 2.3451e-6
0.9676, 2.3451e-6
0.9687, 2.3295e-6
0.9699, 2.3295e-6
0.971, 2.3295e-6
0.9721, 2.3139e-6
0.9731, 2.3139e-6
0.9743, 2.314e-6
0.9754, 2.2985e-6
0.9766, 2.2985e-6
0.9777, 2.2985e-6
0.9788, 2.2832e-6
0.9799, 2.2832e-6
0.9809, 2.2832e-6
0.9821, 2.2679e-6
0.9832, 2.268e-6
0.9844, 2.268e-6
0.9855, 2.268e-6
0.9866, 2.2528e-6
0.9877, 2.2529e-6
0.9888, 2.2529e-6
0.99, 2.2529e-6
0.991, 2.2529e-6
0.9922, 2.2379e-6
0.9933, 2.2379e-6
0.9944, 2.2379e-6
0.9955, 2.2379e-6
0.9967, 2.2379e-6
0.9978, 2.223e-6
0.9989, 2.223e-6
1.0, 2.223e-6
1.0011, 2.223e-6
1.0022, 2.223e-6
1.0033, 2.2082e-6
1.0045, 2.2082e-6
1.0056, 2.2082e-6
1.0067, 2.1934e-6
1.0078, 2.1935e-6
1.0089, 2.1935e-6
1.01, 2.1788e-6
1.0112, 2.1788e-6
1.0123, 2.1789e-6
1.0134, 2.1643e-6
1.0145, 2.1643e-6
1.0156, 2.1643e-6
1.0167, 2.1643e-6
1.0179, 2.1499e-6
1.019, 2.1499e-6
1.0201, 2.1499e-6
1.0212, 2.1499e-6
1.0223, 2.1499e-6
1.0234, 2.15e-6
1.0246, 2.15e-6
1.0257, 2.1356e-6
1.0268, 2.1356e-6
1.0279, 2.1356e-6
1.029, 2.1357e-6
1.0301, 2.1357e-6
1.0313, 2.1357e-6
1.0324, 2.1357e-6
1.0335, 2.1357e-6
1.0346, 2.1357e-6
1.0357, 2.1357e-6
1.0368, 2.1215e-6
1.0379, 2.1215e-6
1.0391, 2.1215e-6
1.0402, 2.1215e-6
1.0413, 2.1215e-6
1.0424, 2.1216e-6
1.0435, 2.1074e-6
1.0446, 2.1074e-6
1.0446, 2.0933e-6
1.0458, 2.0933e-6
